doc_id,text,platform
240,hanep katabi boying remulla nagbigay papel script dis,youtube
241,habang nakaw,youtube
242,first time seen philippines country flooded every area every province,youtube
243,government full corrupt hayy,youtube
244,mayayaman kurakot tumutulong mahihirap mamamayan magbigay tulong,youtube
245,habang binabaha cebu nepo babies pabakasyon bakasyon lacson intention idiin sacrficial lamb co2mment bobo naiintindahan ayaw point kila zadly romuladez,youtube
246,absolutely embarrassing president congress non profit organizations contractors hope get karma bahala lord nature mad ongoing wrongdoings prolonged evidence justice system weak whole lot ego disrespect officials disgusting hope government help cebu need lot help world watching,youtube
247,gusto idiin pawn taga deliver pera master mind nakaupo nepo babie sarap sarap ngaon kakabakasyon,youtube
248,kpag corner suspended agad,youtube
249,tulong saan galing iyang itutulong tax payers money,youtube
250,protektahan iniimbistigahan baka sangkot hinaharang,youtube
251,meralcoletta president makinig pangunahan president masyado kang guilty,youtube
252,marcoleta saan credible witness ilabas muna sinungaling,youtube
253,pahalagahan ibang hind kagaya katipunan san miguel catanduanes mapansin ginawang tulay,youtube
254,natanggap kaginhawahan daigdig kapalit nasawi sakuna kagagawan impiyerno naghihintay kaligtasan kaluluwa habang mananatili mundo katapusan mapaparusahan impiyerno kaluluwa kailaliman hihingi kapatawaran panginoon ngunit pakikinggan nakamit nararapat katapusang paghihirap kalaliman dagat dagatang apoy asupre nawa inyong kaluluwa malapit hinihintay impiyerno bwah hahahaha,youtube
255,bwesit lacson,youtube
256,ping lacson aso rumualdez,youtube
257,sinong nagpapatawa gumawa script alcantara halatang nagturo sau binabasa talagang maniniwala imbestigasyon sen marcoleta maniniwala kami pinky kami naniniwala percent,youtube
258,naku virus mayron kayang naniniwala pagiimbestiga naku iwan,youtube
259,balik balik,youtube
260,diba pwde isama investigating panel marcoleta panggulo,youtube
261,marcobeta worst likes argue non sense humble opinion,youtube
262,umiiyak bayan namiminuno gahaman salapi nagpapasuhol nanunuhol darating araw pagbinaba dios hatol ping sotto damay prinoprotektahan magnanakaw pagsiningil damay pati pamilya kahihiyan,youtube
263,ipatigil qng putol bundok sakim kayong gobyerno kawawa pilipino pwede naba kayong tawaging hayop imbis putol bundok magtanim,youtube
264,chairman one investigating magcolekta,youtube
265,obstuctionist markulita goes,youtube
266,nanggugulo buldog,youtube
267,mangyayari investigation pinagtatakpan cebu baha davao investigation bicol baha maynila investigation philippines nakakahiya,youtube
268,ahead ahead ahead personal opinion questioning shut galing lacson ply eboto epis,youtube
269,meetings obviously nothing philippines every time look starving begging money surviving politicians accomplishing anything arguing,youtube
270,sakit ulo,youtube
271,lacson corruption,youtube
272,laging defensive markubeta nababanggit discaya halatang nabigyan malaki hayop,youtube
273,marcoleta bastos pino protektahan marcoleta,youtube
274,marcoleta hilig maginterfere,youtube
275,funny investigating billions peso anomalies guilty corruption karma slow befall upon corrupt officials,youtube
276,bastos lacson,youtube
277,philippine full clown officials joke,youtube
278,tota kawatan lacson,youtube
279,sangkot criminal charges maging senador phils,youtube
280,kwenta lacson sayang,youtube
281,kupal romwaldez pakulong bat kasama,youtube
282,sen rod appeared defending contractor,youtube
283,shut marcoleta grrrr,youtube
284,tunay kriminal kasakiman salapi masahol pasa ejk nangyare baha talagang inosente namatay bitayin romualdez marcos tongressman buwaya sarap pagpapatayin,youtube
285,takot zaldy kritiko kinakatakotan nagbabanta iba kundi romualdez marcos buking kumanta zaldy todo denial ayaw nmn pauwiin,youtube
286,nakakasuka pagmumukha nyang zaldy,youtube
287,sangkot anomalyang gawain pamunuang marcos inaangking inosente kasalanan epekto kahihiyan filipino pamahalaan sala whistleblowers matitinong iimbestiga,youtube
288,fishing business deeper reason wants bring zaldy entirely corruption personal agenda politicians truth filipinos believe,youtube
289,tiangco obviously honest trusted hope becomes speaker house someday effort laying bare inner workings called small house representatives minutes meeting already suspicious sara duterte release confidential funds central characters received cash cannot found,youtube
290,always protect shelter corrupt criminals,youtube
291,inday first dalawa hawak budget pilipinas zaldy martin romualdez,youtube
292,magaling english maaari tagalog gamitin malaman maigi,youtube
293,anything gonna happen philippines talking stealing,youtube
294,first time lawyer client innocent client victim original sure politicians help cover corruption exposed hard expose corruption everyone coruptible,youtube
295,palagay tama pahayag zaldy kayang gawin maniobra budget tama toby zaldy martin romualdez matic tsaka andyan zandro majority floor leader finally pbbm approved budget iisipin,youtube
296,toby tubol,youtube
297,toby tubol,youtube
298,toby tubol,youtube
299,toby tubol,youtube
300,toby tubol,youtube
301,toby tubol,youtube
302,toby tubol,youtube
303,toby tubol,youtube
304,toby tubol,youtube
